DocumentID,spam,external,internal,foreign_language,too_short,repeated_characters,repeated_lines,html,phone_number,links,author_account_age,author_n_logins,author_uploaded_docs,author_spam,author_published_docs,author_valid_email_address,author_email_domain,author_plan_at_submission,document_n_words,document_format,document_upload_method
67728790,0,0,0,0,0,0,0,0,0,0,37,2,6,,1,1,163.com,free,1020,docx,upload
67732027,0,0,0,0,1,0,1,0,0,0,36,1,3,,1,1,hotmail.com,free,0,docx,upload
67733851,0,1,1,0,0,0,0,0,1,0,229,3,3,,2,1,yahoo.com,free,19661,pdf,upload
67736866,0,1,1,0,0,0,0,0,0,0,36,1,1,,0,1,gmail.com,free,1766,docx,upload
67743172,0,0,0,0,0,0,0,0,0,0,36,1,1,,0,0,civig.com,free,0,jpg,dropbox
67744741,0,1,1,0,0,0,0,0,1,0,36,1,1,,0,1,gmail.com,free,9541,pdf,upload
67747588,0,0,0,0,1,0,0,0,0,0,36,1,1,,0,1,gmail.com,free,125,docx,upload
67757035,0,0,0,0,0,0,0,0,0,0,115,3,3,,2,1,gmail.com,free,296,docx,upload
67758172,0,1,1,0,0,0,0,0,0,0,36,1,2,,1,1,yahoo.com,free,3828,pdf,upload
67758400,0,0,0,0,1,0,0,0,0,0,36,1,1,,0,1,msn.com,free,26,doc,upload
67759051,0,0,0,0,1,0,1,0,0,0,37,2,7,,1,1,live.com,free,29,docx,upload
67781728,0,0,0,1,0,0,1,0,0,0,36,1,1,,0,1,gmail.com,free,1436,pdf,upload
67787905,0,0,0,0,0,0,0,0,0,0,538,2,1,,0,1,yahoo.com,free,526,pdf,upload
67794637,0,1,1,0,0,0,0,0,0,0,35,1,1,,0,1,gmail.com,free,56888,pdf,upload
67801033,0,0,0,0,1,0,0,0,0,0,1077,1,1,,0,1,avc.edu,free,16,docx,upload
67808242,0,0,0,1,0,0,0,0,0,0,35,1,3,,0,1,hotmail.com,free,46741,pdf,upload
67809898,0,0,0,0,1,0,0,0,0,0,35,1,1,,0,1,gmail.com,free,47,docx,upload
67826215,0,0,0,0,1,0,1,0,0,0,35,1,1,,0,1,hotmail.com,free,0,pdf,upload
67835644,0,0,0,1,0,0,0,0,0,0,35,1,1,,0,1,live.com,free,309,pdf,dropbox
67838236,0,0,0,0,0,0,0,0,0,0,35,1,1,,0,1,ymail.com,free,258,pptx,upload
67838467,0,0,0,0,0,0,0,0,0,0,397,43,756,,629,1,usa.com,free,655,pdf,upload
67839379,0,1,1,0,0,0,0,0,0,0,701,91,141,,134,1,kenresearch.com,free,589,pptx,upload
67840078,0,1,1,0,0,0,0,0,0,0,621,344,382,,361,1,gmail.com,free,281,doc,upload
67840528,0,0,0,0,1,0,0,0,0,0,34,1,1,,0,1,gmail.com,free,26,pdf,google_drive
67840660,0,1,1,0,0,0,0,0,0,0,34,1,1,,0,1,gmail.com,free,2962,pdf,upload
67842757,0,0,0,0,0,0,0,0,0,0,34,1,1,,0,1,hotmail.com,free,1361,pdf,upload
67843570,0,1,1,0,0,0,0,0,0,0,34,1,1,,0,1,yahoo.com,free,4019,pdf,upload
67844938,0,0,0,0,1,0,1,0,0,0,34,1,2,,0,1,gmail.com,free,0,docx,upload
67846846,0,0,0,0,1,0,1,0,0,0,34,1,2,,0,1,gmail.com,free,3,docx,upload
67846888,0,0,0,0,1,0,0,0,0,0,425,2,3,,0,1,ymail.com,free,162,docx,upload
67848970,0,1,1,0,0,0,0,0,0,0,164,7,1,,0,1,hotmail.com,free,6694,pdf,upload
67862131,0,1,1,0,0,0,0,0,0,0,54,3,1,,0,1,gmail.com,free,5549,pdf,upload
67880539,0,0,0,1,0,0,0,0,0,0,183,2,1,,0,1,gmail.com,free,773,pptx,upload
67881637,0,1,1,0,0,0,0,0,0,0,34,1,1,,0,1,gmail.com,free,3947,pdf,upload
67886383,0,0,0,0,0,0,0,0,0,0,428,2,1,,0,1,yahoo.com,free,10573,pdf,upload
67886581,0,1,1,0,0,0,0,0,0,0,33,1,1,,0,1,abv.bg,free,838,pdf,dropbox
67886896,0,1,1,0,0,0,0,0,0,0,288,74,140,,120,1,gmail.com,free,470,docx,upload
67888357,0,1,1,0,0,0,0,0,0,0,33,1,1,,0,1,yahoo.com,free,3476,docx,upload
67904167,0,0,0,0,0,0,0,0,0,0,33,1,1,,0,1,yahoo.com,free,306,pdf,upload
67907236,0,0,0,0,0,0,0,0,0,0,33,1,1,,0,1,hotmail.com,free,2806,docx,upload
67927879,0,0,0,0,1,0,0,0,0,0,32,1,1,,0,1,yahoo.com,free,124,doc,upload
67932886,0,0,0,0,1,0,0,0,0,0,32,1,7,,2,1,yahoo.com,free,80,pdf,upload
67934098,0,0,0,0,1,0,0,0,0,0,32,1,1,,0,1,gmail.com,free,244,docx,upload
67934560,0,0,0,0,1,0,0,0,0,0,31,1,42,,38,1,yahoo.com,free,49,docx,upload
